Id,Nume,IncadrareCont,CategorieBilant,SubcategorieBilant,Intrari
10, Capital şi rezerve,CP+DTL,CP,,
101, Capital ,CP+DTL,CP,,
1011, Capital subscris nevărsat,CP+DTL,CP,,
1012, Capital subscris vărsat,CP+DTL,CP,,
1015, Patrimoniul regiei,CP+DTL,CP,,
1016, Patrimoniul public,CP+DTL,CP,,
1017, Patrimoniul privat,CP+DTL,CP,,
1018, Patrimoniul institutelor naţionale de cercetare-dezvoltare ,CP+DTL,CP,,
103, Alte elemente de capitaluri proprii,CP+DTL,CP,,
1031, Beneficii acordate angajaţilor sub forma instrumentelor de capitaluri proprii,CP+DTL,CP,,
1033, Diferenţe de curs valutar în relaţie cu investiţia netă într-o entitate străină,CP+DTL,CP,,
1038, Diferenţe din modificarea valorii juste a activelor financiare disponibile în vederea vânzării şi alte elemente de capitaluri proprii,CP+DTL,CP,,
104, Prime de capital,CP+DTL,CP,,
1041, Prime de emisiune,CP+DTL,CP,,
1042, Prime de fuziune/divizare,CP+DTL,CP,,
1043, Prime de aport,CP+DTL,CP,,
1044, Prime de conversie a obligaţiunilor în acţiuni,CP+DTL,CP,,
105, Rezerve din reevaluare,CP+DTL,CP,,
106, Rezerve,CP+DTL,CP,,
1061, Rezerve legale,CP+DTL,CP,,
1063, Rezerve statutare sau contractuale,CP+DTL,CP,,
1068, Alte rezerve,CP+DTL,CP,,
107, Diferenţe de curs valutar din conversie,CP+DTL,CP,,
108, Interese care nu controlează,CP+DTL,CP,,
1081, Interese care nu controlează - rezultatul exerciţiului financiar,CP+DTL,CP,,
1082, Interese care nu controlează - alte capitaluri proprii,CP+DTL,CP,,
109, Acţiuni proprii,CP+DTL,CP,,
1091, Acţiuni proprii deţinute pe termen scurt,CP+DTL,CP,,
1092, Acţiuni proprii deţinute pe termen lung,CP+DTL,CP,,
1095, Acţiuni proprii reprezentând titluri deţinute de societatea absorbită la societatea absorbantă,CP+DTL,CP,,
11, Rezultatul reportat,CP+DTL,CP,,
117, Rezultatul reportat,CP+DTL,CP,,
1171, Rezultatul reportat reprezentând profitul nerepartizat sau pierderea neacoperită,CP+DTL,CP,,
1172," Rezultatul reportat provenit din adoptarea pentru prima dată a IAS, mai puţin IAS 29",CP+DTL,CP,,
1173, Rezultatul reportat provenit din modificările politicilor contabile,CP+DTL,CP,,
1174, Rezultatul reportat provenit din corectarea erorilor contabile,CP+DTL,CP,,
1175, Rezultatul reportat reprezentând surplusul realizat din rezerve din reevaluare,CP+DTL,CP,,
1176, Rezultatul reportat provenit din trecerea la aplicarea reglementărilor contabile conforme cu directivele europene,CP+DTL,CP,,
12, Rezultatul exerciţiului financiar,CP+DTL,CP,,
121, Profit sau pierdere,CP+DTL,CP,,
129, Repartizarea profitului,CP+DTL,CP,,
14," Câştiguri sau pierderi legate de emiterea, răscumpărarea, vânzarea, cedarea cu titlu gratuit sau anularea instrumentelor de capitaluri proprii",CP+DTL,CP,,
141, Câştiguri legate de vânzarea sau anularea instrumentelor de capitaluri proprii,CP+DTL,CP,,
1411, Câştiguri legate de vânzarea instrumentelor de capitaluri proprii,CP+DTL,CP,,
1412, Câştiguri legate de anularea instrumentelor de capitaluri proprii,CP+DTL,CP,,
149," Pierderi legate de emiterea, răscumpărarea, vânzarea, cedarea cu titlu gratuit sau anularea instrumentelor de capitaluri proprii",CP+DTL,CP,,
1491, Pierderi rezultate din vânzarea instrumentelor de capitaluri proprii,CP+DTL,CP,,
1495," Pierderi rezultate din reorganizări, care sunt determinate de anularea titlurilor deţinute",CP+DTL,CP,,
1498, Alte pierderi legate de instrumentele de capitaluri proprii,CP+DTL,CP,,
15, Provizioane,CP+DTL,CP,,
151, Provizioane,CP+DTL,CP,,
1511, Provizioane pentru litigii,CP+DTL,CP,,
1512, Provizioane pentru garanţii acordate clienţilor,CP+DTL,CP,,
1513, Provizioane pentru dezafectare imobilizări corporale şi alte acţiuni similare legate de acestea,CP+DTL,CP,,
